class_index,category_id,name,common_name,kingdom,phylum,taxon_class,order,family,genus,specific_epithet,image_dir_name
122,2527,Neurothemis taiwanensis,Neurothemis taiwanensis,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Neurothemis,taiwanensis,02527_Animalia_Arthropoda_Insecta_Odonata_Libellulidae_Neurothemis_taiwanensis
123,2628,Pseudochorthippus curtipennis,Marsh meadow grasshopper,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Pseudochorthippus,curtipennis,02628_Animalia_Arthropoda_Insecta_Orthoptera_Acrididae_Pseudochorthippus_curtipennis
124,2633,Schistocerca obscura,Obscure Bird Grasshopper,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Schistocerca,obscura,02633_Animalia_Arthropoda_Insecta_Orthoptera_Acrididae_Schistocerca_obscura
125,2668,Conocephalus fuscus,Long-winged Conehead,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Conocephalus,fuscus,02668_Animalia_Arthropoda_Insecta_Orthoptera_Tettigoniidae_Conocephalus_fuscus
126,2702,Faxonius virilis,Virile Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Faxonius,virilis,02702_Animalia_Arthropoda_Malacostraca_Decapoda_Cambaridae_Faxonius_virilis
127,2736,Petrolisthes elongatus,New Zealand Half Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Petrolisthes,elongatus,02736_Animalia_Arthropoda_Malacostraca_Decapoda_Porcellanidae_Petrolisthes_elongatus
128,2769,Pimephales notatus,Bluntnose Minnow,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,notatus,02769_Animalia_Chordata_Actinopterygii_Cypriniformes_Cyprinidae_Pimephales_notatus
129,2770,Rhinichthys atratulus,Blacknose Dace,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,atratulus,02770_Animalia_Chordata_Actinopterygii_Cypriniformes_Cyprinidae_Rhinichthys_atratulus
130,2773,Squalius cephalus,Chub,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Squalius,cephalus,02773_Animalia_Chordata_Actinopterygii_Cypriniformes_Cyprinidae_Squalius_cephalus
131,2800,Lepomis auritus,Redbreast Sunfish,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,auritus,02800_Animalia_Chordata_Actinopterygii_Perciformes_Centrarchidae_Lepomis_auritus
132,2812,Chaetodon capistratus,Four-eyed Butterflyfish,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,capistratus,02812_Animalia_Chordata_Actinopterygii_Perciformes_Chaetodontidae_Chaetodon_capistratus
133,2836,Eupetrichthys angustipes,Snakeskin Wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Eupetrichthys,angustipes,02836_Animalia_Chordata_Actinopterygii_Perciformes_Labridae_Eupetrichthys_angustipes
134,2855,Parupeneus spilurus,Blackspot Goatfish,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae,Parupeneus,spilurus,02855_Animalia_Chordata_Actinopterygii_Perciformes_Mullidae_Parupeneus_spilurus
135,2858,Perca flavescens,Yellow Perch,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Perca,flavescens,02858_Animalia_Chordata_Actinopterygii_Perciformes_Percidae_Perca_flavescens
136,2866,Abudefduf vaigiensis,Indo-Pacific Sergeant Major,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,vaigiensis,02866_Animalia_Chordata_Actinopterygii_Perciformes_Pomacentridae_Abudefduf_vaigiensis
137,2878,Aplodinotus grunniens,Freshwater Drum,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Aplodinotus,grunniens,02878_Animalia_Chordata_Actinopterygii_Perciformes_Sciaenidae_Aplodinotus_grunniens
138,2884,Paralabrax clathratus,Kelp Bass,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Paralabrax,clathratus,02884_Animalia_Chordata_Actinopterygii_Perciformes_Serranidae_Paralabrax_clathratus
139,2914,Plotosus lineatus,Striped Eel Catfish,Animalia,Chordata,Actinopterygii,Siluriformes,Plotosidae,Plotosus,lineatus,02914_Animalia_Chordata_Actinopterygii_Siluriformes_Plotosidae_Plotosus_lineatus
140,2919,Hippocampus histrix,Spiny Seahorse,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,histrix,02919_Animalia_Chordata_Actinopterygii_Syngnathiformes_Syngnathidae_Hippocampus_histrix
141,2973,Pristimantis achatinus,Cachabi Robber Frog,Animalia,Chordata,Amphibia,Anura,Craugastoridae,Pristimantis,achatinus,02973_Animalia_Chordata_Amphibia_Anura_Craugastoridae_Pristimantis_achatinus
142,3014,Litoria fallax,Eastern Dwarf Treefrog,Animalia,Chordata,Amphibia,Anura,Pelodryadidae,Litoria,fallax,03014_Animalia_Chordata_Amphibia_Anura_Pelodryadidae_Litoria_fallax
143,3040,Rana aurora,Northern Red-legged Frog,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,aurora,03040_Animalia_Chordata_Amphibia_Anura_Ranidae_Rana_aurora
144,3070,Aneides aeneus,Green Salamander,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides,aeneus,03070_Animalia_Chordata_Amphibia_Caudata_Plethodontidae_Aneides_aeneus
145,3107,Triturus carnifex,Italian Crested Newt,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,carnifex,03107_Animalia_Chordata_Amphibia_Caudata_Salamandridae_Triturus_carnifex
146,3120,Aquila heliaca,Imperial Eagle,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,heliaca,03120_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Aquila_heliaca
147,3177,Pernis apivorus,European Honey-buzzard,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pernis,apivorus,03177_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Pernis_apivorus
148,3199,Anas georgica,Yellow-billed Pintail,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,georgica,03199_Animalia_Chordata_Aves_Anseriformes_Anatidae_Anas_georgica
149,3244,Cygnus olor,Mute Swan,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,olor,03244_Animalia_Chordata_Aves_Anseriformes_Anatidae_Cygnus_olor
150,3258,Melanitta perspicillata,Surf Scoter,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,perspicillata,03258_Animalia_Chordata_Aves_Anseriformes_Anatidae_Melanitta_perspicillata
151,3259,Mergellus albellus,Smew,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergellus,albellus,03259_Animalia_Chordata_Aves_Anseriformes_Anatidae_Mergellus_albellus
152,3260,Mergus merganser,Common Merganser,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,merganser,03260_Animalia_Chordata_Aves_Anseriformes_Anatidae_Mergus_merganser
153,3306,Archilochus alexandri,Black-chinned Hummingbird,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Archilochus,alexandri,03306_Animalia_Chordata_Aves_Caprimulgiformes_Trochilidae_Archilochus_alexandri
154,3321,Heliodoxa jacula,Green-crowned Brilliant,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Heliodoxa,jacula,03321_Animalia_Chordata_Aves_Caprimulgiformes_Trochilidae_Heliodoxa_jacula
155,3358,Charadrius obscurus,Red-breasted Dotterel,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,obscurus,03358_Animalia_Chordata_Aves_Charadriiformes_Charadriidae_Charadrius_obscurus
156,3364,Charadrius wilsonia,Wilson's Plover,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,wilsonia,03364_Animalia_Chordata_Aves_Charadriiformes_Charadriidae_Charadrius_wilsonia
157,3367,Pluvialis dominica,American Golden-Plover,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,dominica,03367_Animalia_Chordata_Aves_Charadriiformes_Charadriidae_Pluvialis_dominica
158,3372,Vanellus coronatus,Crowned Lapwing,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,coronatus,03372_Animalia_Chordata_Aves_Charadriiformes_Charadriidae_Vanellus_coronatus
159,3385,Haematopus palliatus,American Oystercatcher,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,palliatus,03385_Animalia_Chordata_Aves_Charadriiformes_Haematopodidae_Haematopus_palliatus
160,3398,Chroicocephalus hartlaubii,Hartlaub's Gull,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,hartlaubii,03398_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chroicocephalus_hartlaubii
161,3402,Chroicocephalus ridibundus,Black-headed Gull,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,03402_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chroicocephalus_ridibundus
162,3410,Larus cachinnans,Caspian Gull,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,cachinnans,03410_Animalia_Chordata_Aves_Charadriiformes_Laridae_Larus_cachinnans
163,3417,Larus glaucescens,Glaucous-winged Gull,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,glaucescens,03417_Animalia_Chordata_Aves_Charadriiformes_Laridae_Larus_glaucescens
164,3481,Numenius madagascariensis,Far Eastern Curlew,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,madagascariensis,03481_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Numenius_madagascariensis
165,3490,Tringa glareola,Wood Sandpiper,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,glareola,03490_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Tringa_glareola
166,3529,Patagioenas flavirostris,Red-billed Pigeon,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,flavirostris,03529_Animalia_Chordata_Aves_Columbiformes_Columbidae_Patagioenas_flavirostris
167,3635,Pavo cristatus,Common Peafowl,Animalia,Chordata,Aves,Galliformes,Phasianidae,Pavo,cristatus,03635_Animalia_Chordata_Aves_Galliformes_Phasianidae_Pavo_cristatus
168,3673,Zapornia flavirostra,Black Crake,Animalia,Chordata,Aves,Gruiformes,Rallidae,Zapornia,flavirostra,03673_Animalia_Chordata_Aves_Gruiformes_Rallidae_Zapornia_flavirostra
169,3715,Passerina ciris,Painted Bunting,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,ciris,03715_Animalia_Chordata_Aves_Passeriformes_Cardinalidae_Passerina_ciris
170,3719,Pheucticus chrysopeplus,Yellow Grosbeak,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Pheucticus,chrysopeplus,03719_Animalia_Chordata_Aves_Passeriformes_Cardinalidae_Pheucticus_chrysopeplus
171,3728,Certhia americana,Brown Creeper,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,americana,03728_Animalia_Chordata_Aves_Passeriformes_Certhiidae_Certhia_americana
172,3759,Corvus ossifragus,Fish Crow,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,ossifragus,03759_Animalia_Chordata_Aves_Passeriformes_Corvidae_Corvus_ossifragus
173,3777,Psilorhinus morio,Brown Jay,Animalia,Chordata,Aves,Passeriformes,Corvidae,Psilorhinus,morio,03777_Animalia_Chordata_Aves_Passeriformes_Corvidae_Psilorhinus_morio
174,3778,Pyrrhocorax graculus,Alpine Chough,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pyrrhocorax,graculus,03778_Animalia_Chordata_Aves_Passeriformes_Corvidae_Pyrrhocorax_graculus
175,3804,Taeniopygia bichenovii,Double-barred Finch,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Taeniopygia,bichenovii,03804_Animalia_Chordata_Aves_Passeriformes_Estrildidae_Taeniopygia_bichenovii
176,3828,Loxia curvirostra,Red Crossbill,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,curvirostra,03828_Animalia_Chordata_Aves_Passeriformes_Fringillidae_Loxia_curvirostra
177,3849,Hirundo rustica,Barn Swallow,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,rustica,03849_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Hirundo_rustica
178,3859,Riparia riparia,Bank Swallow,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia,riparia,03859_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Riparia_riparia
179,3860,Stelgidopteryx ruficollis,Southern Rough-winged Swallow,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Stelgidopteryx,ruficollis,03860_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Stelgidopteryx_ruficollis
180,3865,Tachycineta thalassina,Violet-green Swallow,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,thalassina,03865_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Tachycineta_thalassina
181,3868,Agelaius tricolor,Tricolored Blackbird,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,tricolor,03868_Animalia_Chordata_Aves_Passeriformes_Icteridae_Agelaius_tricolor
182,3901,Quiscalus quiscula,Common Grackle,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus,quiscula,03901_Animalia_Chordata_Aves_Passeriformes_Icteridae_Quiscalus_quiscula
183,3938,Ptilotula penicillata,White-plumed Honeyeater,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Ptilotula,penicillata,03938_Animalia_Chordata_Aves_Passeriformes_Meliphagidae_Ptilotula_penicillata
184,3961,Anthus pratensis,Meadow Pipit,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,pratensis,03961_Animalia_Chordata_Aves_Passeriformes_Motacillidae_Anthus_pratensis
185,3990,Oenanthe familiaris,Familiar Chat,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,familiaris,03990_Animalia_Chordata_Aves_Passeriformes_Muscicapidae_Oenanthe_familiaris
186,4040,Poecile hudsonicus,Boreal Chickadee,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,hudsonicus,04040_Animalia_Chordata_Aves_Passeriformes_Paridae_Poecile_hudsonicus
187,4043,Poecile rufescens,Chestnut-backed Chickadee,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,rufescens,04043_Animalia_Chordata_Aves_Passeriformes_Paridae_Poecile_rufescens
188,4068,Setophaga cerulea,Cerulean Warbler,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,cerulea,04068_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_cerulea
189,4070,Setophaga citrina,Hooded Warbler,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,citrina,04070_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_citrina
190,4073,Setophaga dominica,Yellow-throated Warbler,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,dominica,04073_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_dominica
191,4084,Setophaga ruticilla,American Redstart,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,ruticilla,04084_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_ruticilla
192,4089,Vermivora chrysoptera,Golden-winged Warbler,Animalia,Chordata,Aves,Passeriformes,Parulidae,Vermivora,chrysoptera,04089_Animalia_Chordata_Aves_Passeriformes_Parulidae_Vermivora_chrysoptera
193,4099,Calamospiza melanocorys,Lark Bunting,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Calamospiza,melanocorys,04099_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Calamospiza_melanocorys
194,4100,Centronyx henslowii,Henslow's Sparrow,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Centronyx,henslowii,04100_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Centronyx_henslowii
195,4118,Pipilo erythrophthalmus,Eastern Towhee,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,erythrophthalmus,04118_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Pipilo_erythrophthalmus
196,4138,Eopsaltria australis,Eastern Yellow Robin,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Eopsaltria,australis,04138_Animalia_Chordata_Aves_Passeriformes_Petroicidae_Eopsaltria_australis
197,4142,Petroica macrocephala,Tomtit,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,macrocephala,04142_Animalia_Chordata_Aves_Passeriformes_Petroicidae_Petroica_macrocephala
198,4178,Regulus ignicapilla,Common Firecrest,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,ignicapilla,04178_Animalia_Chordata_Aves_Passeriformes_Regulidae_Regulus_ignicapilla
199,4189,Sitta pusilla,Brown-headed Nuthatch,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,pusilla,04189_Animalia_Chordata_Aves_Passeriformes_Sittidae_Sitta_pusilla
200,4203,Chamaea fasciata,Wrentit,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Chamaea,fasciata,04203_Animalia_Chordata_Aves_Passeriformes_Sylviidae_Chamaea_fasciata
201,4228,Saltator coerulescens,Grayish Saltator,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Saltator,coerulescens,04228_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Saltator_coerulescens
202,4245,Thraupis episcopus,Blue-gray Tanager,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Thraupis,episcopus,04245_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Thraupis_episcopus
203,4293,Contopus cooperi,Olive-sided Flycatcher,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,cooperi,04293_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Contopus_cooperi
204,4295,Contopus sordidulus,Western Wood-Pewee,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,sordidulus,04295_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Contopus_sordidulus
205,4302,Empidonax hammondii,Hammond's Flycatcher,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,hammondii,04302_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Empidonax_hammondii
206,4308,Fluvicola nengeta,Masked Water-Tyrant,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Fluvicola,nengeta,04308_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Fluvicola_nengeta
207,4313,Myiarchus cinerascens,Ash-throated Flycatcher,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,cinerascens,04313_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Myiarchus_cinerascens
208,4350,Zosterops japonicus,Warbling White-eye,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,japonicus,04350_Animalia_Chordata_Aves_Passeriformes_Zosteropidae_Zosterops_japonicus
209,4352,Zosterops palpebrosus,Indian White-eye,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,palpebrosus,04352_Animalia_Chordata_Aves_Passeriformes_Zosteropidae_Zosterops_palpebrosus
210,4372,Cochlearius cochlearius,Boat-billed Heron,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Cochlearius,cochlearius,04372_Animalia_Chordata_Aves_Pelecaniformes_Ardeidae_Cochlearius_cochlearius
211,4386,Nycticorax nycticorax,Black-crowned Night Heron,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,04386_Animalia_Chordata_Aves_Pelecaniformes_Ardeidae_Nycticorax_nycticorax
212,4391,Pelecanus crispus,Dalmatian Pelican,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,crispus,04391_Animalia_Chordata_Aves_Pelecaniformes_Pelecanidae_Pelecanus_crispus
213,4419,Phoenicopterus ruber,American Flamingo,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,ruber,04419_Animalia_Chordata_Aves_Phoenicopteriformes_Phoenicopteridae_Phoenicopterus_ruber
214,4442,Dryobates pubescens,Downy Woodpecker,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,pubescens,04442_Animalia_Chordata_Aves_Piciformes_Picidae_Dryobates_pubescens
215,4553,Megascops asio,Eastern Screech-Owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,asio,04553_Animalia_Chordata_Aves_Strigiformes_Strigidae_Megascops_asio
216,4578,Phalacrocorax pelagicus,Pelagic Cormorant,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,pelagicus,04578_Animalia_Chordata_Aves_Suliformes_Phalacrocoracidae_Phalacrocorax_pelagicus
217,4579,Phalacrocorax penicillatus,Brandt's Cormorant,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,penicillatus,04579_Animalia_Chordata_Aves_Suliformes_Phalacrocoracidae_Phalacrocorax_penicillatus
218,4596,Trogon rufus,Black-throated Trogon,Animalia,Chordata,Aves,Trogoniformes,Trogonidae,Trogon,rufus,04596_Animalia_Chordata_Aves_Trogoniformes_Trogonidae_Trogon_rufus
219,4609,Ginglymostoma cirratum,Nurse Shark,Animalia,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,cirratum,04609_Animalia_Chordata_Elasmobranchii_Orectolobiformes_Ginglymostomatidae_Ginglymostoma_cirratum
220,4632,Oreotragus oreotragus,Klipspringer,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Oreotragus,oreotragus,04632_Animalia_Chordata_Mammalia_Artiodactyla_Bovidae_Oreotragus_oreotragus
221,4641,Tragelaphus oryx,Eland,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,oryx,04641_Animalia_Chordata_Mammalia_Artiodactyla_Bovidae_Tragelaphus_oryx
222,4654,Odocoileus virginianus,White-tailed Deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,04654_Animalia_Chordata_Mammalia_Artiodactyla_Cervidae_Odocoileus_virginianus
223,4671,Canis lupus,Gray Wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,04671_Animalia_Chordata_Mammalia_Carnivora_Canidae_Canis_lupus
224,4673,Lycalopex culpaeus,Culpeo,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycalopex,culpaeus,04673_Animalia_Chordata_Mammalia_Carnivora_Canidae_Lycalopex_culpaeus
225,4680,Lynx canadensis,Canada Lynx,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,canadensis,04680_Animalia_Chordata_Mammalia_Carnivora_Felidae_Lynx_canadensis
226,4690,Mephitis macroura,Hooded Skunk,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,macroura,04690_Animalia_Chordata_Mammalia_Carnivora_Mephitidae_Mephitis_macroura
227,4708,Phocarctos hookeri,New Zealand Sea Lion,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Phocarctos,hookeri,04708_Animalia_Chordata_Mammalia_Carnivora_Otariidae_Phocarctos_hookeri
228,4732,Galeopterus variegatus,Sunda Flying Lemur,Animalia,Chordata,Mammalia,Dermoptera,Cynocephalidae,Galeopterus,variegatus,04732_Animalia_Chordata_Mammalia_Dermoptera_Cynocephalidae_Galeopterus_variegatus
229,4736,Macropus fuliginosus,Western Grey Kangaroo,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,fuliginosus,04736_Animalia_Chordata_Mammalia_Diprotodontia_Macropodidae_Macropus_fuliginosus
230,4794,Castor canadensis,American Beaver,Animalia,Chordata,Mammalia,Rodentia,Castoridae,Castor,canadensis,04794_Animalia_Chordata_Mammalia_Rodentia_Castoridae_Castor_canadensis
231,4801,Myodes glareolus,Bank Vole,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,glareolus,04801_Animalia_Chordata_Mammalia_Rodentia_Cricetidae_Myodes_glareolus
232,4833,Marmota monax,Woodchuck,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,monax,04833_Animalia_Chordata_Mammalia_Rodentia_Sciuridae_Marmota_monax
233,4843,Sciurus aureogaster,Red-bellied Squirrel,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,aureogaster,04843_Animalia_Chordata_Mammalia_Rodentia_Sciuridae_Sciurus_aureogaster
234,4860,Caiman crocodilus,Common Caiman,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus,04860_Animalia_Chordata_Reptilia_Crocodylia_Alligatoridae_Caiman_crocodilus
235,4862,Crocodylus moreletii,Belize Crocodile,Animalia,Chordata,Reptilia,Crocodylia,Crocodylidae,Crocodylus,moreletii,04862_Animalia_Chordata_Reptilia_Crocodylia_Crocodylidae_Crocodylus_moreletii
236,4879,Anguis veronensis,Italian Slow Worm,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,veronensis,04879_Animalia_Chordata_Reptilia_Squamata_Anguidae_Anguis_veronensis
237,4884,Gerrhonotus infernalis,Texas Alligator Lizard,Animalia,Chordata,Reptilia,Squamata,Anguidae,Gerrhonotus,infernalis,04884_Animalia_Chordata_Reptilia_Squamata_Anguidae_Gerrhonotus_infernalis
238,4904,Dendrelaphis pictus,Common Bronze-back,Animalia,Chordata,Reptilia,Squamata,Colubridae,Dendrelaphis,pictus,04904_Animalia_Chordata_Reptilia_Squamata_Colubridae_Dendrelaphis_pictus
239,4925,Lampropeltis triangulum,Eastern Milksnake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,triangulum,04925_Animalia_Chordata_Reptilia_Squamata_Colubridae_Lampropeltis_triangulum
240,4964,Tantilla gracilis,Flat-headed Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Tantilla,gracilis,04964_Animalia_Chordata_Reptilia_Squamata_Colubridae_Tantilla_gracilis
241,4977,Zamenis longissimus,Aesculapian Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Zamenis,longissimus,04977_Animalia_Chordata_Reptilia_Squamata_Colubridae_Zamenis_longissimus
242,4981,Basiliscus vittatus,Brown Basilisk,Animalia,Chordata,Reptilia,Squamata,Corytophanidae,Basiliscus,vittatus,04981_Animalia_Chordata_Reptilia_Squamata_Corytophanidae_Basiliscus_vittatus
243,4995,Micrurus tener,Texas Coralsnake,Animalia,Chordata,Reptilia,Squamata,Elapidae,Micrurus,tener,04995_Animalia_Chordata_Reptilia_Squamata_Elapidae_Micrurus_tener
244,5016,Iguana iguana,Green Iguana,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Iguana,iguana,05016_Animalia_Chordata_Reptilia_Squamata_Iguanidae_Iguana_iguana
245,5028,Pseudaspis cana,Mole Snake,Animalia,Chordata,Reptilia,Squamata,Lamprophiidae,Pseudaspis,cana,05028_Animalia_Chordata_Reptilia_Squamata_Lamprophiidae_Pseudaspis_cana
246,5080,Plestiodon obsoletus,Great Plains Skink,Animalia,Chordata,Reptilia,Squamata,Scincidae,Plestiodon,obsoletus,05080_Animalia_Chordata_Reptilia_Squamata_Scincidae_Plestiodon_obsoletus
247,5118,Crotalus oreganus,Western Rattlesnake,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,oreganus,05118_Animalia_Chordata_Reptilia_Squamata_Viperidae_Crotalus_oreganus
248,5124,Sistrurus catenatus,Massasauga,Animalia,Chordata,Reptilia,Squamata,Viperidae,Sistrurus,catenatus,05124_Animalia_Chordata_Reptilia_Squamata_Viperidae_Sistrurus_catenatus
249,5172,Actinia equina,Beadlet anemone,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia,equina,05172_Animalia_Cnidaria_Anthozoa_Actiniaria_Actiniidae_Actinia_equina
